customer_id,first_name,last_name,gender,birthdate,address,email,phone
1,Glenda,Jones,M,1949-10-16,"825 Rodriguez Park
Reedshire, AK 89876",fcox@example.org,
2,Cody,Lewis,F,1997-03-29,"63359 Mary Landing
West Amymouth, IL 10088",antoniowilliams@example.net,519.603.5376x99
3,Ashley,Johnson,F,1980-01-15,"19510 Justin Pine Apt. 873
Rodriguezstad, NH 09174",heatherashley@example.net,+1-714-689-0370
4,Eddie,Meyers,F,1962-04-21,"667 Weeks Groves
Osbornemouth, NM 04207",,
5,Pamela,Allen,F,1949-06-15,"607 Walters Heights
Dawnland, DE 11669",johnmason@example.com,001-329-672-034
6,Jennifer,Sandoval,F,1967-03-09,"6679 Kelly Walk Apt. 973
Lake Davidchester, IL 26807",bradleypatrick@example.org,6329021393
7,Nicholas,Diaz,M,1996-07-04,"67692 Jenna Pine Suite 195
South John, MA 08851",ireese@example.net,580-585-2248
8,Anthony,Jackson,F,1951-03-15,"5660 Turner Walk
East Danielside, WV 70199",aaronhayden@example.net,(857)313-4335x8
9,Robert,Beck,M,1997-12-27,"39645 Hall Crossroad
New Savannah, TX 67700",,(247)704-3509
10,Alyssa,Riley,M,2000-12-09,,christopherstewart@example.com,(477)829-2620x1
11,John,Edwards,F,1944-04-18,"1141 Jennifer Glens
Angelaport, GU 71612",hickmanjohn@example.org,+1-911-640-2337
12,Bernard,Mejia,M,1970-11-26,"3060 Smith Groves Suite 292
East Kimberlyburgh, PA 55464",alexandrajohnson@example.net,752.855.9712x32
13,Luis,Ramsey,F,1968-08-25,,avilazachary@example.net,789-823-1954x99
14,Melissa,Mcmahon,M,1981-11-26,"5213 Peterson Keys Suite 694
Diazton, DC 14385",nrich@example.org,001-625-875-286
15,Beth,Costa,F,1990-10-04,"14089 Julie Pike Suite 879
Parkerport, NJ 01391",,(288)645-2882x7
16,John,Robertson,M,1953-10-17,"35718 Russell Islands Apt. 504
Susanview, DE 00583",lauracox@example.org,823-253-9843
17,Andrea,Smith,F,1960-11-09,"138 Weaver Path
Lake Alicia, OH 99848",cbutler@example.com,2017253386
18,Dave,Yoder,M,1934-02-02,"5640 Gonzalez Corners Apt. 867
Smithton, MT 22656",tammy59@example.org,+1-549-322-1650
19,Mary,Reid,M,1993-10-04,,anthony22@example.org,001-784-592-429
20,Nancy,Carr,F,1958-04-04,"743 John Crest
Lake Carl, WY 09738",oflores@example.net,
21,Kathleen,Holmes,F,1964-08-02,"463 Robert Harbors
West Wayneshire, CT 83177",emmajackson@example.net,595-809-0639
22,Crystal,Ayers,F,1954-03-23,"636 Matthew Green
Montoyamouth, CT 93129",perkinsmichelle@example.com,
23,Steven,Juarez,M,1970-09-25,"933 Karina Trafficway
Caitlinmouth, WY 65106",rmiller@example.net,
24,Jessica,Walsh,M,1950-09-06,"862 Paul Stravenue
New Michellechester, FM 29809",hillmichael@example.com,587-516-2541
25,Greg,Turner,M,1940-09-21,"330 Santos Mill Suite 492
North Thomas, RI 27858",philip76@example.com,767-454-9543
